Date,Year,Month,MonthPeriod,MonthYear,Day,DayName
06-07-2020,2020,July,202007,Jul-20,6,Monday
07-07-2020,2020,July,202007,Jul-20,7,Tuesday
08-07-2020,2020,July,202007,Jul-20,8,Wednesday
09-07-2020,2020,July,202007,Jul-20,9,Thursday
10-07-2020,2020,July,202007,Jul-20,10,Friday
11-07-2020,2020,July,202007,Jul-20,11,Saturday
12-07-2020,2020,July,202007,Jul-20,12,Sunday
13-07-2020,2020,July,202007,Jul-20,13,Monday
14-07-2020,2020,July,202007,Jul-20,14,Tuesday
15-07-2020,2020,July,202007,Jul-20,15,Wednesday
16-07-2020,2020,July,202007,Jul-20,16,Thursday
17-07-2020,2020,July,202007,Jul-20,17,Friday
18-07-2020,2020,July,202007,Jul-20,18,Saturday
19-07-2020,2020,July,202007,Jul-20,19,Sunday
20-07-2020,2020,July,202007,Jul-20,20,Monday
21-07-2020,2020,July,202007,Jul-20,21,Tuesday
22-07-2020,2020,July,202007,Jul-20,22,Wednesday
23-07-2020,2020,July,202007,Jul-20,23,Thursday
24-07-2020,2020,July,202007,Jul-20,24,Friday
25-07-2020,2020,July,202007,Jul-20,25,Saturday
26-07-2020,2020,July,202007,Jul-20,26,Sunday
